arabizi,arabic_harakat,arabic_stripped
2akhkhar,أَخَّر,أخر
2ista2khar,اِسْتَأْخَر,استأخر
wakhkhir,وَخِّر,وخر
ywakhkhir,يوَخِّر,يوخر
wakhkhar,وَخَّر,وخر
2ikhs,إِخْص,إخص
2ikhs 3aleek,إِخْص عَليك,إخص عليك
buuzil 2ikhs,بُوز الإِخْص,بوز الإخص
2ukhtubuut,أُخْطُبُوط,أخطبوط
2ukhtubuut,أُخْطُبُوط,أخطبوط
2ikhwaat,إِخْوَات,إخوات
2ukhut,أُخُت,أخت
yakhti,يَخْتِي,يختي
khayti,خِيتِي,خيتي
khayta,خَيْتَا,خيتا
kundara wulaaqat 2ukhutha,قُنْدَرَة ولَاقَت أُخُتْهَا,قندرة ولاقت أختها
2akho 2ukhto,أَخُو أُخْتُه,أخو أخته
maa 2adrat min 2ilkhaal 2illa 2ibin 2ukhto,مَا أظْرَط مِن الخَال اِلَّا إِبن أُخْتُه,ما أظرط من الخال الا إبن أخته
2ib3id 2ukhti 3anni wukhudd thamarha minni,إِبعد أُخْتِي عني وخذ ثمرهَا مني,إبعد أختي عني وخذ ثمرها مني
mkhaawi,مْخَاوِي,مخاوي
2aakh,آخ,آخ
mkhaawaa,مْخَاوَاة,مخاواة
2akh,أَخ,أخ
2ikhwaan,إِخْوَان,إخوان
2ikhwe,إِخْوِة,إخوة
2il kikh 2akhu 2ilkhara,الكخ أَخُو الخرَا,الكخ أخو الخرا
2akhol miyyet,أَخُو الميت,أخو الميت
2akhu 2ukhto,أَخُو أخته,أخو أخته
khayy,خَيّ,خي
2il7ayye maa bitsiir khayye,الحَيِّة مَابِتْصِير خَيِّة,الحية مابتصير خية
2aakha,آخَى,آخى
y2aakhi,يآخِي,يآخي
2aakhi,آخِي,آخي
khaawa,خَاوَى,خاوى
ykhaawi,يخَاوِي,يخاوي
khaawi,خَاوِي,خاوي
mu2aakhaa,مُآخَاة,مآخاة
2akhu,أَخُو,أخو
mu2addab,مُؤَدَّب,مؤدب
ta2diibi,تَأْدِيبِي,تأديبي
2adab,أَدَب,أدب
2adab,أَدَب,أدب
2aadaab,آدَاب,آداب
2adabi,أَدَبِي,أدبي
2addib,أَدِّب,أدب
2it2addab,اِتْأَدَّب,اتأدب
y2addib,يؤدِّب,يؤدب
yit2addab,يِتْأَدَّب,يتأدب
2addab,أَدَّب,أدب
t2addab,تْأَدَّب,تأدب
2aadam,آدَم,آدم
bani 2aadam,بَنِي آدَم,بني آدم
2aadami,آدَمِي,آدمي
2idaam,إِدَام,إدام
2awaadim,أَوَادِم,أوادم
2awaadmiyye,أَوَادْمِيِّة,أوادمية
2addi,أَدَّي,أدي
y2addi,يؤدِّي,يؤدي
2adda,أَدَّى,أدى
ti2daaye,تِئْدَايِة,تئداية
2adaa,أَدَاة,أداة
2adaa2,أَدَاء,أداء
2iza,إِذَا,إذا
2iz,إِذ,إذ
2izan,إِذاً,إذا
daan,ذَان,ذان
2adaan,أَذَان,أذان
wadhaan,وَذَان,وذان
mu2adhdhin,مُؤَذِّن,مؤذن
2izin,إِذِن,إذن
2isti2zaan,إِسْتِئْذَان,إستئذان
dineen,ذِنَين,ذنين
wadaniin,وَذَنَين,وذنين
2uzuunaat,أُذُونَات,أذونات
2uzuune,أُذُونِة,أذونة
naam 3adaano,نَام عَذَانُه,نام عذانه
daano bitsunn,ذَانُه بِتْصُنّ,ذانه بتصن
ma2aazin,مَآذِن,مآذن
mi2zane,مِئْذَنِة,مئذنة
farkit daan,فَرْكِة ذَان,فركة ذان
dineen 3ali,ذِنَين عَلِي,ذنين علي
dhaan min tiin wudhaan min 3adjiin,ذَان مِن طِين وذَان مِن عَجِين,ذان من طين وذان من عجين
3iriq daanu,عِرْق ذَانُه,عرق ذانه
2addin,أَذِّن,أذن
2ista2zin,اِسْتَأْذِن,استأذن
y2addin,يؤذِّن,يؤذن
yista2zin,يِسْتَأْذِن,يستأذن
2addan,أَذَّن,أذن
2ista2zan,اِسْتَأْذَن,استأذن
wadhdhin,وَذِّن,وذن
ywadhdhin,يوَذِّن,يوذن
wadhdhan,وَذَّن,وذن
2argaaz,أَرْجَاز,أرجاز
2araagiil,أَرَاجِيل,أراجيل
2argiile,أَرْجِيلِة,أرجيلة
2argil,أَرْجِل,أرجل
y2argil,يأَرْجِل,يأرجل
2argal,أَرْجَل,أرجل
taariikhi,تَارِيخِي,تاريخي
taariikhi,تَارِيخي,تاريخي
m2arrikh,مْؤَرِّخ,مؤرخ
taariikh,تَارِيخ,تاريخ
mu2arrikh,مُؤَرِّخ,مؤرخ
tawaariikh,تَوَارِيخ,تواريخ
2arrikh,أَرِّخ,أرخ
y2arrikh,يؤَرِّخ,يؤرخ
2arrakh,أَرَّخ,أرخ
2urduni,أُرْدُنِي,أردني
2araadne,أَرَادْنِة,أرادنة
2urdun,أُرْدُن,أردن
2ardun,أَرْدُن,أردن
2arshif,أَرْشِف,أرشف
y2arshif,يؤرْشِف,يؤرشف
2arshaf,أَرْشَف,أرشف
2arshiif,أَرْشِيف,أرشيف
2ard,أَرْض,أرض
2arid,أَرِض,أرض
2araadi,أَرَاضِي,أراضي
2ard ba3il,أَرْض بَعِل,أرض بعل
2ard buur,أَرْض بور,أرض بور
2ard saqi,أَرْض سَقي,أرض سقي
3addit 2il2ard,عضِّة الأَرْض,عضة الأرض
2ard sliikh,أَرْض سْليخ,أرض سليخ
maa shilto min 2ardo,مَا شِلْتُه من أرْضُه,ما شلته من أرضه
2ard mashaa3,أَرْض مَشَاع,أرض مشاع
sumi3to bil2arid,سمعته بَالأَرْض,سمعته بالأرض
2ismo bil2ard,اِسْمه بَالأَرْض,اسمه بالأرض
shaaqiq 2il2ard wutaali3 minha,شَاقق الأَرْض وطَالع منهَا,شاقق الأرض وطالع منها
ween 2araadii,وين أرَاضِيه,وين أراضيه
mas7at bikaraamto 2il2ard,مسحت بكرَامته الأَرْض,مسحت بكرامته الأرض
maa bu7ruth 2il2ard 2illa 3juulha,مَا بحرث الأَرْض إِلَا عجولهَا,ما بحرث الأرض إلا عجولها
misht 2il2ard,مشط الأَرْض,مشط الأرض
bookil toob 2il2ard,بيوكل طوب الأَرْض,بيوكل طوب الأرض
jamrit 2il2ard,جَمْرة الأرْض,جمرة الأرض
2ardiyye,أَرْضِيِّة,أرضية
2ardi,أَرْضِي,أرضي
2ittalafoon 2il2ardi,التلفون الأَرْضِي,التلفون الأرضي
m2arriq,مْؤَرِّق,مؤرق
2araq,أَرَق,أرق
2arriq,أَرِّق,أرق
y2arriq,يْؤَرِّق,يؤرق
2arraq,أَرَّق,أرق
m2aazara,مؤَازَرَة,مؤازرة
2izaar,إِزَار,إزار
2aazir,آزِر,آزر
y2aazir,يؤَازِر,يؤازر
2aazar,آزَر,آزر
mit2azzim,مِتّْأَزِّم,متأزم
2azme,أَزْمِة,أزمة
2azme maaliyye,أَزْمِة مَاليِّة,أزمة مالية
2azme 2iqtisaadiyye,أَزْمِة اقْتِصَادِيِّة,أزمة اقتصادية
2azmit thiqa,أَزْمِة ثِقَة,أزمة ثقة
2azme 3aa2iliyye,أَزْمِة عَائليِّة,أزمة عائلية
2azmit tanaffus,أَزْمِة تنفُّس,أزمة تنفس
2azmit muntasaf 2il3umur,أَزْمِة منتصف العُمُر,أزمة منتصف العمر
2azzim,أَزِّم,أزم
2it2azzam,اِتْأَزَّم,اتأزم
y2azzim,يؤزِّم,يؤزم
yit2azzam,يِتْأَزَّم,يتأزم
2azzam,أَزّم,أزم
t2azzam,تْأَزَّم,تأزم
2astaze,أَسْتَذِة,أستذة
2ustaaz,أُسْتَاذ,أستاذ
2asaatze,أَسَاتْذِة,أساتذة
2asad,أَسَد,أسد
2usuud,أُسُود,أسود
2ista2sid,اِسْتَأْسِد,استأسد
yista2sid,يِسْتَأْسِد,يستأسد
2ista2sad,اِسْتَأْسَد,استأسد
2asiir,أَسِير,أسير
2asra,أَسْرَى,أسرى
2usra,أُسْرَة,أسرة
2asir,أَسِر,أسر
2usar,أُسَر,أسر
2i2sir,إِئْسِر,إئسر
yi2sir,يِئْسِر,يئسر
2asar,أَسَر,أسر
2asaasi,أَسَاسِي,أساسي
mu2assis,مُؤَسِّس,مؤسس
mu2assase,مُؤَسَّسِة,مؤسسة
ta2siis,تَأْسِيس,تأسيس
2asaas,أَسَاس,أساس
2usus,أُسُس,أسس
2assis,أَسِّس,أسس
y2assis,يْؤسِّس,يؤسس
2assas,أَسَّس,أسس
2aasif,أَسَف,أسف
2it2assaf,اِتْأَسَّف,اتأسف
yit2assaf,يِتْأَسَّف,يتأسف
t2assaf,تْأَسَّف,تأسف
2aasif,آسِف,آسف
mit2assif,مِتْأَسِّف,متأسف
2asaafiin,أَسَافِين,أسافين
2asfiin,أَسْفِين,أسفين
2isfiin,إِسْفِين,إسفين
2asaafiin,أَسَافِين,أسافين
daqni 2asfiin,دقني أسفين,دقني أسفين
2asfin,أَسْفِن,أسفن
y2asfan,يأَسْفِن,يأسفن
2asfan,أَسْفَن,أسفن
2isfanj,إِسْفَنْج,إسفنج
2aasi,آسِي,آسي
y2aasi,يآسِي,يآسي
2aasa,آسَى,آسى
ma2saawi,مَأْسَاوي,مأساوي
ma2aasi,مآسِي,مآسي
ma2saa,مَأْسَاة,مأساة
2ishaara,إِشَارَة,إشارة
2ashshir,أَشِّر,أشر
y2ashshir,يؤشِّر,يؤشر
2ashshar,أَشَّر,أشر
2ashkara,أَشْكَرَا,أشكرا
2aslan,أَصْلاً,أصلا
2asli,أَصْلِي,أصلي
2asli,أَصِيل,أصيل
2asil,أَصِل,أصل
2isti2saal,اِسْتِئْصَال,استئصال
2usuul,أُصُول,أصول
qaliil 2asil,قَلِيل أصِل,قليل أصل
2ibin 2usuul,اِبِن أُصُول,ابن أصول
min 2asil 2iddinyaa,من أَصِل الدنيَا,من أصل الدنيا
2aslo wufaslo,أَصْلُه وفَصْلُه,أصله وفصله
2il2usuul 2inno,الأصول إِنه,الأصول إنه
2ista2sil,اِسْتَأْصِل,استأصل
2assil,أَصِّل,أصل
y2assil,يؤصِّل,يؤصل
yista2sil,يِسْتَأْصِل,يستأصل
2assal,أَصَّل,أصل
2ista2sal,اِسْتَأْصَل,استأصل
2itaar,إِطَار,إطار
2utur,أُطُر,أطر
2utuuraat,أُطُورَات,أطورات
2atroone,أَطْرَونِة,أطرونة
2afkh,أَفْخ,أفخ
2iff,إِفّ,إف
2it2affaf,اِتْأَفَّف,اتأفف
yit2affaf,يِتْأَفَّف,يتأفف
t2affaf,تْأَفَّف,تأفف
2avukaado,أَفُوكَادُو,أفوكادو
2avukaato,أَفُوكَادُو,أفوكادو
2afandi,أَفَنْدِي,أفندي
2afandiyye,أَفَنْدِيِّة,أفندية
2uqqa,أُقَّة,أقة
2uqaq,أُقَق,أقق
mit2aqlim,مِتْأَقْلِم,متأقلم
2aqlame,أَقْلَمِة,أقلمة
ta2aqlum,تَأَقْلُم,تأقلم
2iqliim,إِقْلِيم,إقليم
2aqaaliim,أَقَالِيم,أقاليم
2aqlim,أَقْلِم,أقلم
2it2aqlam,اِتْأَقْلَم,اتأقلم
y2aqlim,يؤقْلِم,يؤقلم
yit2aqlam,يِتْأَقْلَم,يتأقلم
2aqlam,أَقْلَم,أقلم
t2aqlam,تْأَقْلَم,تأقلم
mu2akkad,مُؤَكَّد,مؤكد
2akiid,أَكِيد,أكيد
ta2kiid,تَأْكِيد,تأكيد
3al 2akiid,عَالأَكِيد,عالأكيد
2akkid,أَكِّد,أكد
2it2akkad,اِتْأَكَّد,اتأكد
y2akkid,يؤكِّد,يؤكد
yit2akkad,يِتْأَكَّد,يتأكد
2akkad,أَكَّد,أكد
t2akkad,تْأَكَّد,تأكد
2akra,أَكْرَة,أكرة
2akra,أَكْرَة,أكرة
2akzakhaane,أَكْزَخَانِة,أكزخانة
2uksijiin,أُكْسِجِين,أكسجين
2akkiil,أَكِّيل,أكيل
mit2aakil,مِتْآكِل,متآكل
2akkiile,أَكِّيلِة,أكيلة
2akalha,أَكَلْهَا,أكلها
2akil,أَكِل,أكل
maakil,مَاكِل,ماكل
bittaakalish,بتَّاكَلِش,بتاكلش
2akal zift,أَكَل زفت,أكل زفت
2akal qundara,أَكَل قُندَرَة,أكل قندرة
2akal ruu7 2ilkhall,أَكَل روح الخل,أكل روح الخل
2akal hawa,أَكَل هَوَا,أكل هوا
2akla,أَكْلَة,أكلة
2akal raasi,أَكَل رَاسي,أكل راسي
2akal 7aqqo,أَكَل حَقُّه,أكل حقه
2akal hamm,أَكَل هَم,أكل هم
2akal 2iliktaab,أَكَل الكْتَاب,أكل الكتاب
2akal b7aalo,أَكَل بْحَالُه,أكل بحاله
2akalu wijho,أَكَلوَا وِجْهُه,أكلوا وجهه
2akal maqlab,أَكَل مَقْلَب,أكل مقلب
2akalha 3alee,أَكَلهَا عليه,أكلها عليه
2ilbisse btookil 3ashaa,البِسِّة بتَوكِل عَشَاه,البسة بتوكل عشاه
kul,كُل,كل
wakkil,وَكِّل,وكل
2it2aakal,اِتْآكَل,اتآكل
yit2aakal,يِتْآكَل,يتآكل
yookil,يَوكِل,يوكل
yaakul,يَاكُل,ياكل
ywakkil,يْوَكِّل,يوكل
t2aakal,تْآكَل,تآكل
wakkal,وَكَّل,وكل
2akal,أَكَل,أكل
2akin,أَكِن,أكن
2akin,أَكِن,أكن
2il,ال,ال
2ilba,إِلْبَا,إلبا
2ila 2aakhirih,إِلخ,إلخ
2ilakh 2ilakh 2ilakh,إِلخ إِلخ إِلخ,إلخ إلخ إلخ
2aliif,أَلِيف,أليف
ma2luuf,مَأْلُوف,مألوف
mit2aalif,مِتْآلِف,متآلف
2alif,أَلِف,ألف
2alif,أَلِف,ألف
2uluuf,أُلُوف,ألوف
m2allif,مْؤلِّف,مؤلف
2alf,أَلْف,ألف
2ulfe,أُلْفِة,ألفة
mu2allif,مُؤلِّف,مؤلف
ta2liif,تَأْلِيف,تأليف
2uluuf m2allafe,أُلْوف مْألَّفِة,ألوف مألفة
2uluufaat,أُلُوفَات,ألوفات
2i2laf,إِئْلَف,إئلف
2allif,أَلِّف,ألف
2it2aalaf,اِتآلَف,اتآلف
yi2laf,يِئْلَف,يئلف
yit2aalaf,يِتآلَف,يتآلف
y2allif,يؤلِّف,يؤلف
2ilif,إِلِف,إلف
t2aalaf,تآلَف,تآلف
2allaf,أَلَّف,ألف
2illa,إِلَّا,إلا
2illa,إِلَّا,إلا
2illi,اللِّي,اللي
mu2lim,مُؤْلِم,مؤلم
2aliim,أَلِيم,أليم
2alam,أَلَم,ألم
2aalaam,آلَام,آلام
2allim,أَلِّم,ألم
y2allim,يؤلِّم,يؤلم
2allam,أَلَّم,ألم
2almaaz,أَلْمَاز,ألماز
2alaminyom,أَلَمِنْيُوم,ألمنيوم
2alaminyo,أَلَمِنْيُو,ألمنيو
2alla,الله,الله
bi2amaan 2illaa,بِأَمَان الله,بأمان الله
2alla wismalla,الله وَاِسْم الله,الله واسم الله
2alla ma3 dawaaliibak,الله مَع دَوَالِيبَك,الله مع دواليبك
maa yquul 2allaahu 2akbar,مَا يقُول الله أَكْبَر,ما يقول الله أكبر
2ahil laa 2ilaaha 2illa 2alla,أَهِل لَا إِلَه إِلَّا الله,أهل لا إله إلا الله
2alla faati7 3aleeh,الله فَاتِح عَلَيه,الله فاتح عليه
3ala 2alla,عَلَى الله,على الله
7ayyalla,حَيّ الله,حي الله
7ayyalla,حَيَّا الله,حيا الله
2alu,أَلُو,ألو
2imbala,إِمْبَلَا,إمبلا
2amad,أَمَد,أمد
mu2aamara,مُؤَامَرَة,مؤامرة
2amir,أَمِر,أمر
2amiir,أَمِير,أمير
mu2tamar,مُؤْتَمَر,مؤتمر
2awaamir,أَوَامِر,أوامر
2umara,أُمَرَا,أمرا
maa 3aleek 2amir,مَا عَلَيك أَمِر,ما عليك أمر
2ana 2amiir winta 2amiir wumiin sawwaaq 2il7amiir,أَنَا أَمِير وَاِنْت أَمِير ومِين سَوَّاق الحَمِير,أنا أمير وانت أمير ومين سواق الحمير
2u2mur,اُؤْمُر,اؤمر
t2ammar,تْأَمَّر,تأمر
2it2aamar,اِتْآمَر,اتآمر
yu2mur,يُؤْمُر,يؤمر
yit2ammar,يِتْأَمَّر,يتأمر
yit2aamar,يِتْآمَر,يتآمر
2amar,أَمَر,أمر
t2ammar,تْأَمَّر,تأمر
t2aamar,تْآمَر,تآمر
2imma3a,إِمَّعَة,إمعة
2amal,أَمَل,أمل
2aamaal,آمَال,آمال
basiis 2amal,بَصِيص أَمَل,بصيص أمل
qata3 2il2amal,قَطَع الأمَل,قطع الأمل
3allaq 2amaalo 3ala,عَلَّق آمَالُه عَلَى,علق آماله على
shall 2amalo,شَلّ أَمَلُه,شل أمله
2ammil,أَمِّل,أمل
2it2ammal,اِتْأَمَّل,اتأمل
y2ammil,يْأَمِّل,يأمل
yit2ammal,يِتْأَمَّل,يتأمل
2ammal,أَمَّل,أمل
t2ammal,تْأَمَّل,تأمل
2ummi,أُمِّي,أمي
2aamim,آمِم,آمم
2ummahaat,أُمَّهَات,أمهات
2immayaat,إِمَّيَات,إميات
2umm,أُمّ,أم
2imm,إِمّ,إم
2imm 2iddaraayir,إِمّ الضَّرَايِر,إم الضراير
2ummiyye,أُمِّيِة,أمية
2umme,أُمِّة,أمة
meeme,مَيمِة,ميمة
2imaam,إِمَام,إمام
2a2imme,أَئِمِّة,أئمة
maama,مَامَا,ماما
2umam,أُمَم,أمم
yamma,يَمَّا,يما
shuu jaab 2ilghuraab lammo,شُو جَاب الغُرَاب لإِمُّه,شو جاب الغراب لإمه
ma7u 2ummiyye,مَحُو أُمِّيِة,محو أمية
2ummit laa 2ilaha 2illa 2allaa,أُمِّة لَا إِله إِلَا الله,أمة لا إله إلا الله
3ala 2umm,على أُمّ,على أم
2imm 2wee2,إِمّ قْوَيق,إم قويق
2imm 3ali,إِمّ عَلِي,إم علي
shughulha mitil shughul 2immi ladurritha,شُغُلْهَا مِثِل شُغُل إِمِّي لضُرِّتهَا,شغلها مثل شغل إمي لضرتها
yamma,يَمَّا,يما
maa 3indo yamma 2ir7amiini,مَا عِنْدُه يَمَّا اِرْحَمِيني,ما عنده يما ارحميني
yamma,يَمَّا,يما
2imm,إِمّ,إم
2ammim,أَمِّم,أمم
y2imm,يئِمّ,يئم
y2ammim,يأَمِّم,يأمم
2amma,أَمَّا,أما
2amm,أَمّ,أم
2ammam,أَمَّم,أمم
2imma,إِمَّا,إما
2amni,أَمْنِيّ,أمني
2amin,أَمْن,أمن
2amaane,أَمَانِة,أمانة
2amaan,أَمَان,أمان
bi2amaan 2illaa,بأمَان الله,بأمان الله
2alla 2akhad 2amaanto,الله أخذ أمَانته,الله أخذ أمانته
2ammin,أَمِّن,أمن
y2ammin,يأَمِّن,يأمن
2amman,أَمَّن,أمن
2anaani,أَنَانِي,أناني
2anaaniyye,أَنَانِيِّة,أنانية
2ana,أَنَا,أنا
2aani,آنِي,آني
ta2niib,تَأْنِيب,تأنيب
ta2niib 2iddamiir,تَأْنِيب الضَّمِير,تأنيب الضمير
2annib,أَنِّب,أنب
y2annib,يْؤنِّب,يؤنب
2annab,أَنَّب,أنب
2anta,أَنْتَ,أنت
2inta,إِنْتَ,إنت
2anti,أَنْتِ,أنت
2inti,إِنْتِ,إنت
2intu,إِنْتُو,إنتو
2intin,إِنْتِن,إنتن
m2antikh,مْأَنْتِخ,مأنتخ
2antakha,أَنْتَخَة,أنتخة
2antikh,أَنْتِخ,أنتخ
y2antikh,يأَنْتِخ,يأنتخ
2antakh,أَنْتَخ,أنتخ
2antik,أَنْتِك,أنتك
y2antik,يأَنْتِك,يأنتك
2antak,أَنْتَك,أنتك
m2antak,مْأَنْتَك,مأنتك
2annis,أَنِّث,أنث
y2annis,يؤنِّث,يؤنث
2annas,أَنَّث,أنث
2inaas,إِنَاث,إناث
2unsa,أُنْثَى,أنثى
2andjar,أَنْجَر,أنجر
2anjar,أَنْجَر,أنجر
2anja2,أَنْجَق,أنجق
2anjale,أَنْجَلِة,أنجلة
2anjil,أَنْجِل,أنجل
y2anjil,يْأَنْجَل,يأنجل
2anjal,أَنْجَل,أنجل
2anzuu7,أَنْزُوح,أنزوح
2anaazii7,أَنَازِيح,أنازيح
2insaani,إِنْسَانِي,إنساني
2aanisa,آنِسَة,آنسة
2aanse,آنْسِة,آنسة
2insaan,إِنْسَان,إنسان
2anshuuq2a,أَنْشُوقَة,أنشوقة
2it2annaq,اِتْأَنَّق,اتأنق
yit2annaq,يِتْأَنَّق,يتأنق
t2annaq,تْأَنَّق,تأنق
2anaaqa,أَنَاقَة,أناقة
2aniiq,أَنِيق,أنيق
2inkala,إِنْكَلَا,إنكلا
2ann,أَنّ,أن
2inn,إِنّ,إن
2aniin,أَنِين,أنين
2ilmawduu3 fii 2inna,الموضوع فيه إِنّ,الموضوع فيه إن
2ann,أَنّ,أن
li2ann,لِأَن,لأن
2inna,إِنّ,إن
2inn,ئِنّ,ئن
y2inn,يئِنّ,يئن
2ann,أَنّ,أن
2anuu,أَنُو,أنو
2ani,أَني,أني
2aah,آه,آه
2ahil,أَهِل,أهل
2ahaali,أَهَالِي,أهالي
2ahil laa 2ilaaha 2illa 2alla,أَهل لَا إِله إِلَا الله,أهل لا إله إلا الله
